user_pseudo_id,cnt_user_engagement,cnt_level_start_quickplay,cnt_level_end_quickplay,cnt_level_complete_quickplay,cnt_level_reset_quickplay,cnt_post_score,cnt_spend_virtual_currency,cnt_ad_reward,cnt_challenge_a_friend,cnt_completed_5_levels,cnt_use_extra_steps
0E0C0F08123CB27BA63037F04FDE9248,36,1,0,0,0,5,0,0,0,1,0
01C32D7902049B768BAA294A7F0D150D,11,5,3,3,0,3,0,0,0,0,0
ABF34B528D18C455F276DDD3025A100B,198,1,0,0,0,34,0,0,0,2,0
118590741147E0FE292B40BEF813F7FB,7,3,1,1,0,1,0,0,0,0,0
160E90D8586EC5DBB391CDC4AE40218A,14,1,0,0,0,1,0,0,0,0,0
C2FC4E7982D01DC11CB23FD5077F51DA,3,0,0,0,0,0,0,0,0,0,0
419D962FE0A98E1A651C9753F942D212,6,1,0,0,0,0,0,0,0,0,0
E30E8756808AB219B28276F129C51552,15,4,0,0,1,1,0,0,0,0,0
CFE57B8ACA078C7618E2E477955404CB,28,10,6,3,4,3,0,0,0,0,0
42327F3D4C5238486EC689F87D5EA3D1,4,0,0,0,0,1,0,0,0,0,0
B46C0C3FD69B32EA5FAE5017216C5FBE,1,0,0,0,0,0,0,0,0,0,0
F0A67B4154F4275B32243228EC61BD74,4,2,0,0,1,0,0,0,0,0,0
28C3573C64D06BD68E31D18E5DA77ABE,64,7,7,1,0,6,5,0,0,0,0
0155220BAB309646CC7AC980AB75A212,46,17,16,11,0,11,0,0,0,0,0
498863DFCF5947A4D6DD8E82CC1BB322,16,0,0,0,0,3,0,0,0,0,0
44DE25D7B9A474632A68C3533417A1CD,53,0,0,0,0,12,0,0,0,1,0
B5D8ACA33A57FF52CFC01C59EBD0E9EC,15,23,1,1,19,1,0,0,0,0,0
B4723ACA1A6C65BE5D0970DF4166CCBE,29,3,2,0,0,2,0,0,0,1,0
83BD247F986B80A1459E119D2891452E,5,0,0,0,0,0,0,0,0,0,0
F1B841B645E96249BDFD59DB76865211,26,12,4,0,7,0,0,0,0,0,0
30E7FC7394103E7EFA3F0AFC9F14342C,3,0,0,0,0,0,0,0,0,0,0
9E63A50ABB7C292735533D3308161DBD,1,1,0,0,0,0,0,0,0,0,0
5C75C4C24A8F46B0E518376A0CB1E6A1,1,1,1,0,0,0,0,0,0,0,0
6AE69BD54E326143C501A49A4CCD0CBB,13,2,2,0,1,0,0,0,0,0,0
E853B79033DEAA4E22412485E768DCC9,12,0,0,0,0,3,0,0,0,0,0
1FBF67434F103A94B29D5DB5C7976FF8,6,2,1,0,0,1,0,0,0,0,0
F56BB665465B43F385A68F53BFA10946,46,19,18,0,0,11,0,0,0,0,0
6C6BBE24D96DF8AFE40DF633BB300AB4,14,0,0,0,0,4,0,0,0,0,0
01C3BAA2E732F68CECFC432D722FF6F2,8,2,1,0,0,1,0,0,0,0,0
D99F522177A35745D80F596989D1111E,1,0,0,0,0,0,0,0,0,0,0
96A72898FF482DB4D91FFB5B22846C79,3,0,0,0,0,0,0,0,0,0,0
127C8DEEBBC9881C616168923C93DBC8,26,0,0,0,0,4,0,0,0,0,0
C2EDAD22F64D3A29519FABEAF3BB36F5,5,2,2,0,0,2,0,0,0,0,0
4B0AFFB47CC81EDE5DC4F902B85F0E38,10,3,3,0,0,0,0,0,0,0,0
A10CE5BB49D264C4ADD1D207968B8736,5,1,1,0,0,0,0,0,0,0,0
444248CAA1403EAAF1132C90B5DD8C44,24,1,2,0,0,0,0,0,0,0,0
3F05365BF8C58A0044FFBD8163570664,5,1,1,0,0,0,0,0,0,0,0
209DB3CC26138653830E47B67ACA74E2,4,1,1,0,0,0,0,0,0,0,0
D535218F4C5C58EAAB43068EE1620622,1,0,0,0,0,0,0,0,0,0,0
5FF37EDEA1329EDC4F3D9E78CA14B212,2,0,0,0,0,0,0,0,0,0,0
EDDE23540EB48BC327C20078F8CC3BB0,10,4,0,0,1,0,0,0,0,0,0
D4CE373C174239DC1ACE97F4079B416B,7,2,2,0,0,0,0,0,0,0,0
78657B5FA94F158EC55F7ED6E188B5D3,1,0,0,0,0,0,0,0,0,0,0
628E501EA1130A3A1C63DC1A3DF9D43A,4,1,1,0,0,0,0,0,0,0,0
