user_pseudo_id,user_first_engagement,user_last_engagement,month,julianday,dayofweek,ts_24hr_after_first_engagement,churned,bounced
1235BA39F8C700F0529EC1A33470BF0C,1.52889E+15,1.53379E+15,6,164,4,1.52898E+15,0,0
BC52B9AFFA3C0A471D06D90400771809,1.53125E+15,1.53248E+15,7,191,3,1.53133E+15,0,0
84D135997D8A4D9CB35D4ECA46EF6861,1.52976E+15,1.53185E+15,6,174,7,1.52985E+15,0,0
0A0A977572E0A1355CCC54EB04360606,1.53121E+15,1.53127E+15,7,191,3,1.53129E+15,1,0
83E66F1BEAC2F5ACD6ADC1DC56CD1EFD,1.52928E+15,1.53749E+15,6,169,2,1.52937E+15,0,0
47D860764E077EF0B2913BE5CAF90680,1.53122E+15,1.53123E+15,7,191,3,1.53131E+15,1,0
DAC3C60A9BB7734F83F0C7478185AC4C,1.53129E+15,1.53181E+15,7,192,4,1.53137E+15,0,0
A37E328CF1E796D9004CC04DA0174D49,1.53127E+15,1.53127E+15,7,192,4,1.53136E+15,1,1
2BBBB993FCB4A3A3C59D2537202CA402,1.53125E+15,1.53273E+15,7,191,3,1.53133E+15,0,0
1E5B0F76F3E253BB03C2BBE25E3B9BF6,1.53126E+15,1.53183E+15,7,191,3,1.53134E+15,0,0
8252847DECB3C31CAB9BDEE566F97BA2,1.53123E+15,1.53857E+15,7,191,3,1.53132E+15,0,0
74375465CD17299EBC7C75A1B4047EE0,1.52888E+15,1.53863E+15,6,164,4,1.52897E+15,0,0
7B6BE2A3601A027FD74E71ADC49E4D38,1.53028E+15,1.53197E+15,6,180,6,1.53037E+15,0,0
A74C05E503F6274BAA9457B2265471F5,1.52932E+15,1.53861E+15,6,169,2,1.5294E+15,0,0
D7D1BA6ED11F3F862998ED8B8DB94249,1.53005E+15,1.5385E+15,6,177,3,1.53014E+15,0,0
573882302F3B51695FD01C01316919C9,1.52979E+15,1.53123E+15,6,174,7,1.52987E+15,0,0
96488267CA359B62E02C184468748FFD,1.53063E+15,1.53824E+15,7,184,3,1.53071E+15,0,0
F0FE3E7D8F5EF494C7D34AECB8D27951,1.52978E+15,1.53844E+15,6,174,7,1.52986E+15,0,0
3FC8ECFC8F2976C5B56D0D782F36BD7F,1.52965E+15,1.53855E+15,6,173,6,1.52974E+15,0,0
969928EC33029CB2E91CE4B9BA96728D,1.52907E+15,1.53805E+15,6,166,6,1.52916E+15,0,0
377303AA2F5C5C80E5AAAD26C029BD5A,1.5298E+15,1.53833E+15,6,175,1,1.52989E+15,0,0
918E01DFDCFA209B176CCF3C07EDB3C5,1.53126E+15,1.53809E+15,7,191,3,1.53135E+15,0,0
1857669A1D474842D10E74B20FDA20CB,1.53003E+15,1.53816E+15,6,177,3,1.53012E+15,0,0
091F09F594F7507A1D6D34D006A49CD9,1.52952E+15,1.53859E+15,6,171,4,1.52961E+15,0,0
7680F936107E7650F57D261F4018CE7A,1.52894E+15,1.53848E+15,6,165,5,1.52902E+15,0,0
0D9DE32D08364277A3406C8107F5763F,1.5296E+15,1.53711E+15,6,172,5,1.52968E+15,0,0
81F5705397CE9F0236B2B672AE113154,1.52964E+15,1.53857E+15,6,173,6,1.52973E+15,0,0
75120F32A68A6C4FB643349E125D8C31,1.5312E+15,1.53863E+15,7,191,3,1.53129E+15,0,0
6F6CBC414BAA987475A1F0B41D3C9315,1.5309E+15,1.53826E+15,7,187,6,1.53099E+15,0,0
525E3BEE74AD824923CC04FE45E45B40,1.5292E+15,1.53737E+15,6,168,1,1.52928E+15,0,0
0A8B3658EFEEE8A30763ED36A4152C4B,1.52948E+15,1.53194E+15,6,171,4,1.52957E+15,0,0
2101B6BB8F2636384612521D6A10A55B,1.53162E+15,1.53244E+15,7,196,1,1.5317E+15,0,0
86C65934EDF946EBA8153BF74F0D55CE,1.53017E+15,1.53306E+15,6,179,5,1.53026E+15,0,0
58230465C695B0FDDDAE08A481FAEECC,1.52952E+15,1.53584E+15,6,171,4,1.52961E+15,0,0
476409D7DFD0B2B2B0AB11E5F6D7DDBE,1.53178E+15,1.5335E+15,7,197,2,1.53187E+15,0,0
10DD4C2B3060AB868E928AA66B81E459,1.52956E+15,1.5369E+15,6,172,5,1.52964E+15,0,0
F0C98C1580B5B85E36A5605149A40CE7,1.53195E+15,1.5348E+15,7,199,4,1.53204E+15,0,0
667A8D0FDB2FA1BA819DAB6C0F5C7BC4,1.52904E+15,1.53836E+15,6,166,6,1.52912E+15,0,0
85C63B84706E6DD9752813675F9FB5F8,1.53114E+15,1.53847E+15,7,190,2,1.53123E+15,0,0
EE5D2D867D973763D36332DB66500429,1.53191E+15,1.53191E+15,7,199,4,1.532E+15,1,1
19A52401D23AE9E42A176C6ED9AA5F08,1.53165E+15,1.53529E+15,7,196,1,1.53173E+15,0,0
8601A3659DC5C1F0444E5CCDA5ED3E14,1.53197E+15,1.53417E+15,7,200,5,1.53206E+15,0,0
EF5027132DCDB94B2406560CAF7A5938,1.53177E+15,1.53293E+15,7,197,2,1.53185E+15,0,0
E0CE2CA5D2D361E064F990D370644897,1.53036E+15,1.53652E+15,6,181,7,1.53045E+15,0,0
D4710B794E9AAB607825E5F6B44D60E0,1.53194E+15,1.53194E+15,7,199,4,1.53203E+15,1,1
7AA6572327B5C45D273CCD8868760033,1.52945E+15,1.53853E+15,6,170,3,1.52954E+15,0,0
885F80003700BFD26A67A63A5EF1897E,1.53194E+15,1.53486E+15,7,199,4,1.53203E+15,0,0
E19F04BAB15FBA761833F71BCF5D97D3,1.53189E+15,1.53853E+15,7,199,4,1.53197E+15,0,0
527BB449926BA5B088526A264FD49312,1.53191E+15,1.53852E+15,7,199,4,1.532E+15,0,0
68F0F274679E4F4B4059C60DDAA5A3D4,1.53192E+15,1.53192E+15,7,199,4,1.53201E+15,1,1
901BFDA2B9D8339917ABD9785B4EC499,1.53097E+15,1.53193E+15,7,188,7,1.53106E+15,0,0
8A967B0EBC5488B83E64805029677B66,1.53032E+15,1.53567E+15,6,181,7,1.53041E+15,0,0
B7603B7B3324056CAF6E576ED8EE284D,1.52954E+15,1.53858E+15,6,171,4,1.52962E+15,0,0
8D0E7EBF4DB95170907FDF54CCB166C8,1.53191E+15,1.53196E+15,7,199,4,1.532E+15,1,0
678F34DADB6195EC745FBD1FE5397F49,1.53192E+15,1.53237E+15,7,199,4,1.53201E+15,0,0
53A0BD3DCF2B401EDB8A810C0E162BD0,1.53779E+15,1.53782E+15,9,267,2,1.53788E+15,1,0
